Mon Nov 29 15:34:23 2021    output.dat

         47845633 function calls (47038913 primitive calls) in 40.326 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
53880/28723    0.029    0.000    0.038    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2369(<lambda>)
    15119    0.029    0.000    0.084    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2638(__init__)
    21189    0.029    0.000    0.486    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\patches.py:854(get_bbox)
   175750    0.029    0.000    0.029    0.000 {built-in method torch._C._has_torch_function_variadic}
      100    0.029    0.000    1.548    0.015 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\population.py:42(have_sex)
   248002    0.029    0.000    0.029    0.000 {built-in method builtins.callable}
        1    0.029    0.029    0.353    0.353 {built-in method pygame.display.set_mode}
     5824    0.029    0.000    0.287    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:2157(set_params)
     3009    0.029    0.000    0.690    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backends\backend_agg.py:190(draw_text)
   201029    0.028    0.000    0.028    0.000 D:\Programs\Conda\lib\inspect.py:2882(parameters)
    35733    0.028    0.000    0.057    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\controller.py:14(is_gameover)
    22044    0.028    0.000    0.088    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:641(set_data)
